headline,link,state,district,article_text,summary,keywords,topic,seo_title,meta_description
"Fourth batch of Indians deported from US arrive in Delhi, 4 from Punjab",https://timesofindia.indiatimes.com/india/fourth-batch-of-indians-deported-from-us-arrive-in-delhi-4-from-punjab/articleshow/118506492.cms,Delhi,Delhi,"Representative photo
 
NEW DELHI: Another 
flight
 carrying the fourth batch of illegal immigrants from the United States landed at Delhi airport on Sunday.
Four out of the total deported Indians were from Punjab. Among the four deportees, two were from Gurdaspur, one from Patiala and one from Jalandhar. 
This is a developing story...
Champions Trophy 2025
IND vs PAK Live: Shaheen Afridi strikes, Rohit Sharma falls
'If Shubman Gill gets out early, Pakistan will have a good chance': Ramiz Raja
Babar's absence sparks speculation; PCB chief demands victory at any cost
Stay informed with the latest 
India
 news, updates on 
public holidays
, and 
bank holidays in March
."," Four out of the total deported Indians were from Punjab . Among the four deportees, two were from Gurdaspur, one from Patiala and one from Jalandhar .","[('holidays', 2), ('photo', 1), ('DELHI', 1), ('flight', 1), ('batch', 1)]",Miscellaneous,"Fourth batch of Indians deported from US arrive in Delhi, 4 from Punjab - Miscellaneous","Fourth batch of Indians deported from US arrive in Delhi, 4 from Punjab -  Four out of the total deported Indians were from Punjab . Among the four deportees, two were from Gurdaspur, one from Patiala and one from Jalandhar ."
"'AAP drained coffers,' alleges Delhi CM Rekha Gupta, assures bringing women aid scheme",https://timesofindia.indiatimes.com/india/aap-drained-coffers-alleges-delhi-cm-rekha-gupta-assures-bringing-women-aid-scheme/articleshow/118505186.cms,Delhi,Delhi,"Delhi CM Rekha Gupta
 
NEW DELHI: 
Delhi chief minister
 Rekha Gupta on Sunday accused the Arvind Kejriwal-led past government of draining the Union territory coffers and assured implementation of BJP's poll promise to pay Rs 2,500 every month to women in the national capital. 
Gupta, the first-time MLA from Shalimar Bagh, said the scheme of monetary assistance to women would be rolled out after detailed planning.
Champions Trophy 2025
IND vs PAK Live: Pandya removes Shakeel; Jadeja castles Tahir
'If Shubman Gill gets out early, Pakistan will have a good chance': Ramiz Raja
Babar's absence sparks speculation; PCB chief demands victory at any cost
The Delhi CM attended a meeting along with other BJP MLAs at the state party office ahead of the first session of the newly constituted 8th 
Delhi Assembly
 scheduled on Monday.
Addressing a press conference after the meeting, the newly appointed CM said several phases of meetings have been held with the officers over the implementation of the 
Mahila Samriddhi Yojna
 under which Rs 2,500 per month is to be paid to the eligible women in Delhi.
On Saturday, AAP leader Atishi wrote to 
Rekha Gupta
 requesting a meeting with the AAP legislative delegation to discuss the implementation of Prime Minister Narendra Modi's electoral promise of Rs2,500 monthly assistance for women. 
The letter comes after the BJP's first cabinet meeting on February 20 did not address the scheme that was promised during Modi's election rally in Dwarka.
Accusing the Congress and AAP of neglecting the people of Delhi, Gupta said, ""Congress ruled Delhi for 15 years and after that it was the AAP... yet, they never addressed the issues of the people of Delhi. And now, just one day after we took office, they have started questioning our government."" 
Highlighting her party's swift action, she mentioned, “We approved the Ayushman Bharat health insurance scheme in our first cabinet meeting—a scheme AAP stalled for years. We took oath and immediately fulfilled this promise.” 
Gupta suggested that Congress and AAP should focus on their internal matters, stating, “Many of their members are ready to leave, and they are worried because we are committed to fulfilling all our promises.” She also claimed that the opposition feared her government’s transparency. 
“They are scared because we will present reports in the first assembly session that were never submitted before. The truth about their actions will be revealed to the people,” she said. 
Reaffirming her commitment to the public, Gupta assured that her government would keep all its promises. 
“We started our work on day one by visiting Yamuna Ghat, and we are determined to fulfill 100 per cent of our commitments,” she added.
Stay informed with the latest 
India
 news, updates on 
public holidays
, and 
bank holidays in March
.", Delhi's first meeting of the new Delhi government was held on Saturday . The first session of the Delhi-based legislature was held in New Delhi . The meeting was held to discuss the implementation of the scheme .,"[('Delhi', 8), ('Gupta', 7), ('AAP', 6), ('meeting', 5), ('government', 4)]",Politics,"'AAP drained coffers,' alleges Delhi CM Rekha Gupta, assures bringing women aid scheme - Politics","'AAP drained coffers,' alleges Delhi CM Rekha Gupta, assures bringing women aid scheme -  Delhi's first meeting of the new Delhi government was held on Saturday . The first session of the Delhi-based legislature was held in New Delhi . The meeting was held to discuss the implementation of the scheme ."
Former Delhi CM Atishi chosen leader of opposition in Delhi assembly,https://timesofindia.indiatimes.com/india/former-delhi-cm-atishi-chosen-leader-of-opposition-in-delhi-assembly/articleshow/118500913.cms,Delhi,Delhi,"Atishi (File photo)
 
NEW DELHI: The Aam Aadmi Party on Sunday named 
Atishi
 as the 
leader of opposition
 in the 
Delhi assembly
, where the 
BJP
 holds a majority with 48 MLAs.
She has become the first woman to hold this position in the assembly.
Senior 
AAP
 leader Gopal Rai announced Atishi's appointment as the leader of the opposition in the Delhi assembly during a press briefing after the AAP legislative meeting.
Champions Trophy 2025
IND vs PAK Live: Babar Azam, Imam-ul-Haq off to steady start
'If Shubman Gill gets out early, Pakistan will have a good chance': Ramiz Raja
Babar's absence sparks speculation; PCB chief demands victory at any cost
""In the legislative party meeting today, it has been unanimously decided that Atishi will be the leader of the opposition in the Delhi Assembly. In challenging times, Atishi has served the people of Delhi as the CM. AAP will fulfil the responsibility of a healthy opposition,"" Gopal Rai stated.
Former Delhi CM and party head 
Arvind Kejriwal
 congratulated Atishi on X: ""I congratulate Atishi ji for being elected as leader of AAP in the House. AAP will play the role of constructive opposition in the interest of people of Delhi.""
Atishi thanked Kejriwal and the party's elected MLAs for entrusting her with the responsibility.
Former Delhi CM and prominent AAP leader Atishi secured her Kalkaji seat after a tough contest against former BJP MP Ramesh Bidhuri and Congress leader Alka Lamba.
Last year in September, she was named as the Delhi CM during a meeting of AAP MLAs at Kejriwal's residence. At 43, Atishi became the youngest Delhi CM in history and was sworn-in on September 21.
Kejriwal chose to resign to test the public's faith in him and secure a fresh majority mandate for the party. However, AAP failed to continue its winning streak in the capital.
Meanwhile, the BJP took office on Thursday after the oath-taking ceremony at Ramlila Maidan, with Shalimar Bagh MLA Rekha Gupta becoming Delhi's chief minister. She is the fourth woman to hold this position in the national capital.
The BJP announced its chief ministerial face at the last moment as part of its political strategy, after considering several contenders for the role.
Along with CM Rekha Gupta, six others were appointed as ministers: Parvesh Verma, Ashish Sood, Kapil Mishra, Manjinder Singh Sirsa, Ravinder Kumar Indraj, and Pankaj Kumar Singh.
Returning to power after 27 years, the BJP defeated major AAP leaders, including Arvind Kejriwal in New Delhi, Manish Sisodia in Jangpura, and Saurabh Bharadwaj in Greater Kailash.
The AAP dominated the 2020 and 2015 Delhi elections with landslide victories, winning 67 and 62 seats, respectively. It reduced the BJP to single digits on both occasions and prevented the Congress from securing any seats, ending the party's long 15-year reign under Sheila Dikshit.
Stay informed with the latest 
India
 news, updates on 
public holidays
, and 
bank holidays in March
."," The Aam Aadmi Party named Atishi as leader of opposition in the Delhi assembly . She is the first woman to hold this position in the national capital . Atishi, 43, became the youngest Delhi CM in history and was sworn-in on September 21 .","[('Delhi', 12), ('Atishi', 10), ('AAP', 10), ('leader', 7), ('BJP', 6)]",Miscellaneous,Former Delhi CM Atishi chosen leader of opposition in Delhi assembly - Miscellaneous,"Former Delhi CM Atishi chosen leader of opposition in Delhi assembly -  The Aam Aadmi Party named Atishi as leader of opposition in the Delhi assembly . She is the first woman to hold this position in the national capital . Atishi, 43, became the youngest Delhi CM in history and was sworn-in on September 21 ."
"‘Punjab is important, not ... ': AAP minister responds to 'non-existent' department row",https://timesofindia.indiatimes.com/india/punjab-is-important-not-aap-minister-responds-to-non-existent-department-row/articleshow/118499135.cms,Punjab,General News,"File photo: Punjab minister Kuldeep Singh Dhaliwal (Picture credit: ANI)
 
NEW DELHI: Punjab minister Kuldeep Singh Dhaliwal on Sunday responded to the abolition of the 'non-existent' 
department of administrative reforms
 by the 
Punjab government
, stating that the department's existence is secondary to Punjab's welfare, which remains the government's primary focus.
Speaking to news agency ANI, Dhaliwal said, “They have now abolished the department.
Champions Trophy 2025
IND vs PAK Live: Jasprit Bumrah arrives to watch India vs Pakistan clash in Dubai
'Wrong anthem, 'missing' Indian flag ...': CT marred by off-field blunders
How to Watch IND vs PAK Champions Trophy Match in US, India and Dubai
We have all come to save Punjab. For me, the department is not important; Punjab is important. (Whether this department exists or not) is not an agenda for us”.
A notification issued on February 21 confirmed that the department, which Dhaliwal was assigned alongside 
NRI Affairs
, ""does not exist.""
“In partial modification of Punjab Government Notification No. 2/1/2022-2Cabinet/2230 dated September 23, 2024, regarding allocation of portfolios amongst the Ministers, the Department of 
Administrative Reforms
 earlier allotted to Kuldeep Singh Dhaliwal, Cabinet Minister, is not in existence as on date,” the notification read.
The move triggered a response from BJP, who criticised the AAP government in Punjab, with Union minister Hardeep Singh Puri leading the charge against Dhaliwal for managing a ""non-existent"" department for 20 months.
Union minister Hardeep Singh Puri questioned how Dhaliwal had been running a department for 20 months that did not exist. “He was heading a department for 20 months which is ‘non-existent.’ Such a thing can happen only under the leadership of the AAP government,” Puri said.
BJP leader Fatehjung Singh Bajwa accused the Mann government of poor governance, saying, “Kuldeep Singh Dhaliwal is one of the most senior leaders of the Cabinet and he was leading a non-existent Department, which means no meeting was ever taken… What kind of administrative reforms are being taken? People are going abroad through dunki routes, and no agent or tout who sent them was ever caught... This state government has taken Punjab back by 50 years”.
Defending his government’s move, 
Punjab CM Bhagwant Mann
 clarified that the department was merged with another to streamline governance. “We changed its name and created a new department. Earlier it was just for the name, there was no staff or office. Now, it has been created to bring reforms, whether it is in bureaucracy or other areas,” ANI quoted Mann.
Mann further explained that similar restructuring is being planned for other departments. “There are two departments – the department of administrative reforms and the one held by cabinet minister Aman Arora (governance reforms). There was confusion between the two. We have made it one proper department,” he said.
He also mentioned that other departments with overlapping functions, such as irrigation, water conservation, and drainage, may be consolidated to improve efficiency.
The department of aministrative reforms had reportedly been ‘redundant’ for some time. Officials pointed out that it existed only on paper, had no dedicated officers and no significant meetings or initiatives had taken place.
Dhaliwal, who now holds only the NRI affairs portfolio, has been in the spotlight, particularly after the US deported 
illegal migrants
 to Amritsar earlier this month. Previously, in a cabinet reshuffle in May 2023, Dhaliwal lost key portfolios such as agriculture and rural development, with administrative reforms being handed to him after the exit of Inderbir Singh Nijjar.
However, its role remained unclear as the state’s good governance and IT departments were already handling administrative efficiency improvements.
Stay informed with the latest 
India
 news, updates on 
public holidays
, and 
bank holidays in March
."," Punjab minister Kuldeep Singh Dhaliwal says department's existence is secondary to Punjab's welfare . A notification issued on February 21 confirmed that department of administrative reforms ""does not exist"" Union minister Hardeep Singh Puri led the charge against the minister for managing a 'non-existent' department .","[('department', 14), ('Dhaliwal', 10), ('Singh', 8), ('reforms', 7), ('government', 7)]",Politics,"‘Punjab is important, not ... ': AAP minister responds to 'non-existent' department row - Politics","‘Punjab is important, not ... ': AAP minister responds to 'non-existent' department row -  Punjab minister Kuldeep Singh Dhaliwal says department's existence is secondary to Punjab's welfare . A notification issued on February 21 confirmed that department of administrative reforms ""does not exist"" Union minister Hardeep Singh Puri led the charge against the minister for managing a 'non-existent' department ."
"Won’t give in to ‘blackmail’, Centre makes it clear to Tamil Nadu",https://timesofindia.indiatimes.com/india/wont-give-in-to-blackmail-centre-makes-it-clear-to-tn/articleshow/118490049.cms,Tamil Nadu,General News,"Won’t give in to ‘blackmail’, Centre makes it clear to TN (Pic credit: PTI)
 
NEW DELHI: In the midst of its escalating political standoff with Tamil Nadu govt over National Education Policy (NEP) 2020, Centre has made it clear that it is firmly committed to implementing the three-language policy at school level. Centre is steadfast in its stance and will not succumb to Tamil Nadu's ""blackmailing"" tactics, govt sources said.
Union education minister Dharmendra Pradhan, in a letter to Tamil Nadu chief minister M K Stalin on Friday, criticised the state's opposition to NE, calling it ""highly inappropriate"" and a ""narrow-minded approach"". Pradhan sought to allay concerns raised by Tamil Nadu govt, saying, ""Let me unequivocally state that there is no question of imposing any language on any state or community.""
NE advocates a flexible three-language formula, emphasising multilingual education, while allowing states to choose their own languages within the framework. However, Tamil Nadu govt has consistently opposed the policy, arguing that it undermines the state's long-standing two-language formula and poses a potential threat to linguistic identity.
Despite the state's reservations, Union govt remains firm on implementing NE nationwide. Centre maintains that the policy is designed to enhance educational outcomes and foster multilingual proficiency without infringing upon regional linguistic preferences. Pradhan underscored this in his letter, stating, ""NE upholds the principle of linguistic freedom and ensures that students continue to learn in the language of their choice.""
""Apart from BJP-governed states there are multiple non-BJP states which are implementing this language policy. In fact, states like Assam and Odisha, among others, have been following a three-language formula till Class VIII which predates BJP govts there,"" said a senior govt official.
The three-language policy, which has been a part of India's education framework since 1968, has been a major point of contention for long. Pradhan argued that its lack of proper implementation over the decades has led to a decline in the systematic teaching of Indian languages and an over-reliance on foreign languages. ""NE seeks to correct this historical oversight by ensuring that every Indian language, including Tamil, receives its rightful place in education while maintaining the flexibility for states to design their own language policies,"" he wrote.
Pradhan cautioned that Tamil Nadu's continued opposition to NE could deprive its students, teachers, and educational institutions of the immense opportunities the policy offers.
Stay informed with the latest 
India
 news, updates on 
public holidays
, and 
bank holidays in March
.", Centre says it will not give in to 'blackmailing' language policy . Policy is designed to ensure that every Indian language is taught in its own way .,"[('language', 10), ('Tamil', 7), ('Nadu', 6), ('govt', 6), ('policy', 6)]",Politics,"Won’t give in to ‘blackmail’, Centre makes it clear to Tamil Nadu - Politics","Won’t give in to ‘blackmail’, Centre makes it clear to Tamil Nadu -  Centre says it will not give in to 'blackmailing' language policy . Policy is designed to ensure that every Indian language is taught in its own way ."
"Maharashtra-Karnataka clash: Bus conductor assaulted, slapped with Pocso case after language row",https://timesofindia.indiatimes.com/india/maharashtra-karnataka-clash-bus-conductor-assaulted-slapped-with-pocso-case-after-language-row/articleshow/118488131.cms,Karnataka,General News,"Bus conductor assaulted, slapped with Pocso case after language row
 
BELAGAVI: A case has been registered under the 
Pocso Act
 against the 
NWKRTC bus conductor
 who was assaulted by a group of people in Balekundri (KH) on Friday for not speaking to a passenger in Marathi. According to the police, the passenger in question, a college student, is a minor girl.
The driver of the bus, Rajesab Momin, was also assaulted, according to the police complaint filed by conductor Basavaraj Hukkeri, who is undergoing treatment at a Belagavi hospital, following the attack.
Champions Trophy 2025
IND vs PAK Live: India target semis spot, Pakistan desperate for survival
'Wrong anthem, 'missing' Indian flag ...': CT marred by off-field blunders
How to Watch IND vs PAK Champions Trophy Match in US, India and Dubai
The conductor had an argument with the college student when she insisted that he speak to her in Marathi, after he demanded that her male companion buy a ticket for the ride. Later, around 20 people boarded the bus at Balekundri and beat up the driver and conductor. 
Kannada outfits that had already expressed their ire over the attack on the crew, raised the pitch several notches higher on Saturday.
Condemning the incident and registering of a case against the conductor under the Prevention of Children from Sexual Offences (Pocso) Act, activists of Karnataka Nava Nirmana Sene blackened the face of a 
Maharashtra bus conductor
 and the front windshield of a bus in Chitradurga on Saturday. Meanwhile, 
Karnataka Rakshana Vedike
 activists protested outside Marihal police station and at Channamma Circle.
Police have arrested four persons so far, including a minor, in connection with the assault. While three of them were remanded in judicial custody for 14 days, the minor was sent to a remand home on Friday night. 
The incident led to disruption in bus services between Karnataka and Maharashtra, with Kannada outfits in Karnataka and Shiv Sena activists on the Maharashtra side of the border protesting.
Police commissioner Iada Martin Marbaniang said: ""Three teams have been formed to search for the remaining accused. The victim was a minor girl, and a complaint was filed on her behalf under Section 12 of the Pocso Act against the conductor.""
Police said precautionary measures have been taken to maintain law and order, and SPs along the Karnataka-Maharashtra border will be told to share information about the steps to be taken to prevent any untoward incident.
Stay informed with the latest 
India
 news, updates on 
public holidays
, and 
bank holidays in March
."," Bus conductor assaulted, slapped with Pocso case after language row . Incident led to disruption in bus services between Karnataka and Maharashtra, with Kannada outfits protesting . Police have arrested four persons so far, including a minor, in connection with the assault .","[('conductor', 8), ('bus', 6), ('Karnataka', 5), ('Pocso', 4), ('Maharashtra', 4)]",Miscellaneous,"Maharashtra-Karnataka clash: Bus conductor assaulted, slapped with Pocso case after language row - Miscellaneous","Maharashtra-Karnataka clash: Bus conductor assaulted, slapped with Pocso case after language row -  Bus conductor assaulted, slapped with Pocso case after language row . Incident led to disruption in bus services between Karnataka and Maharashtra, with Kannada outfits protesting . Police have arrested four persons so far, including a minor, in connection with the assault ."
M K Stalin raises concerns over potential reduction of parliamentary seats in Tamil Nadu,https://timesofindia.indiatimes.com/india/m-k-stalin-raises-concerns-over-potential-reduction-of-parliamentary-seats-in-tamil-nadu/articleshow/118503996.cms,Tamil Nadu,General News,"Tamil Nadu Chief Minister
 M K Stalin expressed concern on Sunday about the potential reduction in Parliamentary seats, attributing it to the state's successful implementation of 
family planning initiatives
.
 Previously, Stalin had referenced this issue, suggesting that the Lok Sabha delimitation exercise might prompt people to consider having ""16 children,"" referring to a traditional Tamil proverb about different forms of wealth.
Champions Trophy 2025
IND vs PAK Live: Shakeel, Rizwan drive Pakistan forward
'If Shubman Gill gets out early, Pakistan will have a good chance': Ramiz Raja
Babar's absence sparks speculation; PCB chief demands victory at any cost
The DMK President speaking at a party functionary's wedding ceremony in his Kolathur constituency, encouraged the couple to select proper Tamil names for their future children.
He highlighted that the family planning programme advocates for thoughtful family size management.
The chief minister pointed out that the state's consistent adherence to family planning measures has led to the current situation where Parliamentary seat numbers might be reduced through delimitation.
Tamil Nadu, currently holding 39 Lok Sabha seats, has expressed strong opposition to any proposed reduction in its Parliamentary representation following delimitation.
Stay informed with the latest 
India
 news, updates on 
public holidays
, and 
bank holidays in March
.", Tamil Nadu Chief Minister M K Stalin expressed concern on Sunday about the potential reduction in Parliamentary seats . Stalin pointed out that the state's consistent adherence to family planning measures has led to the current situation where Parliamentary seat numbers might be reduced .,"[('Tamil', 4), ('family', 4), ('planning', 3), ('delimitation', 3), ('Nadu', 2)]",Miscellaneous,M K Stalin raises concerns over potential reduction of parliamentary seats in Tamil Nadu - Miscellaneous,M K Stalin raises concerns over potential reduction of parliamentary seats in Tamil Nadu -  Tamil Nadu Chief Minister M K Stalin expressed concern on Sunday about the potential reduction in Parliamentary seats . Stalin pointed out that the state's consistent adherence to family planning measures has led to the current situation where Parliamentary seat numbers might be reduced .
First conference on women peacekeepers set to take place in New Delhi,https://timesofindia.indiatimes.com/india/first-conference-on-women-peacekeepers-set-to-take-place-in-new-delhi/articleshow/118502994.cms,Delhi,New Delhi,"Representative image (Picture credit: ANI)
 
NEW DELHI: The first-ever Conference for Women Peacekeepers on the theme ""
Women in Peacekeeping
: A Global South Perspective"" will take place in New Delhi from February 24-25, the ministry of external affairs (MEA) announced on Sunday. 
In an official statement, the MEA noted that the ministry of external affairs is organising the conference in collaboration with the ministry of defence and the Centre for United Nations Peacekeeping (CUNPK).
Champions Trophy 2025
IND vs PAK Live: Pakistan lose Imam, Babar in quick succession
'If Shubman Gill gets out early, Pakistan will have a good chance': Ramiz Raja
Babar's absence sparks speculation; PCB chief demands victory at any cost
As per the MEA, the conference will include women peacekeepers from 35 Troop Contributing Countries (TCCs) in the Global South. The external affairs minister will deliver the keynote address.
Notably, the United Nations will be represented by Jean-Pierre Lacroix, UN Under secretary general, department of peace operations, and Mr Christian Saunders, UN special coordinator. They will join other relevant stakeholders in the peacekeeping domain at the conference.
As per the MEA, the participating women peacekeepers will also call on President 
Droupadi Murmu
. 
A video message about the conference was also shared by MEA's spokesperson Randhir Jaiswal on X. 
It noted that the conference would see the coming together of top policymakers, peacekeepers and officials from the United Nations and India, along with 35 TCCs ""to discuss the Global South's perspective on 
Tech in Peacekeeping
, Training & Regional collaboration.""
As per the ministry of defence, India has served in 49 of 71 UN missions. Indian soldiers have shown dedication and determination of the highest order by serving in the most physically demanding and harshest environments. This act of devotion has also brought Indian forces worldwide applause and recognition. More than 2 00,000 Indian nationals have contributed to the UN Peacekeeping to date and have provided their valued assistance to multiple conflict-ridden states.
Stay informed with the latest 
India
 news, updates on 
public holidays
, and 
bank holidays in March
."," The first-ever Conference for Women Peacekeepers on the theme ""Women in Peacekeeping: A Global South Perspective"" will take place in New Delhi from February 24-25 . The conference will include women peacekeepers from 35 Troop Contributing Countries (TCCs) in the Global South .","[('MEA', 5), ('conference', 5), ('Peacekeeping', 4), ('ministry', 4), ('UN', 4)]",Miscellaneous,First conference on women peacekeepers set to take place in New Delhi - Miscellaneous,"First conference on women peacekeepers set to take place in New Delhi -  The first-ever Conference for Women Peacekeepers on the theme ""Women in Peacekeeping: A Global South Perspective"" will take place in New Delhi from February 24-25 . The conference will include women peacekeepers from 35 Troop Contributing Countries (TCCs) in the Global South ."
Former Delhi CM Atishi chosen leader of opposition in Delhi assembly,https://timesofindia.indiatimes.com/india/former-delhi-cm-atishi-chosen-leader-of-opposition-in-delhi-assembly/articleshow/118500913.cms,Delhi,Delhi,"Atishi (File photo)
 
NEW DELHI: The Aam Aadmi Party on Sunday named 
Atishi
 as the 
leader of opposition
 in the 
Delhi assembly
, where the 
BJP
 holds a majority with 48 MLAs.
She has become the first woman to hold this position in the assembly.
Senior 
AAP
 leader Gopal Rai announced Atishi's appointment as the leader of the opposition in the Delhi assembly during a press briefing after the AAP legislative meeting.
Champions Trophy 2025
IND vs PAK Live: Babar Azam, Imam-ul-Haq off to steady start
'If Shubman Gill gets out early, Pakistan will have a good chance': Ramiz Raja
Babar's absence sparks speculation; PCB chief demands victory at any cost
""In the legislative party meeting today, it has been unanimously decided that Atishi will be the leader of the opposition in the Delhi Assembly. In challenging times, Atishi has served the people of Delhi as the CM. AAP will fulfil the responsibility of a healthy opposition,"" Gopal Rai stated.
Former Delhi CM and party head 
Arvind Kejriwal
 congratulated Atishi on X: ""I congratulate Atishi ji for being elected as leader of AAP in the House. AAP will play the role of constructive opposition in the interest of people of Delhi.""
Atishi thanked Kejriwal and the party's elected MLAs for entrusting her with the responsibility.
Former Delhi CM and prominent AAP leader Atishi secured her Kalkaji seat after a tough contest against former BJP MP Ramesh Bidhuri and Congress leader Alka Lamba.
Last year in September, she was named as the Delhi CM during a meeting of AAP MLAs at Kejriwal's residence. At 43, Atishi became the youngest Delhi CM in history and was sworn-in on September 21.
Kejriwal chose to resign to test the public's faith in him and secure a fresh majority mandate for the party. However, AAP failed to continue its winning streak in the capital.
Meanwhile, the BJP took office on Thursday after the oath-taking ceremony at Ramlila Maidan, with Shalimar Bagh MLA Rekha Gupta becoming Delhi's chief minister. She is the fourth woman to hold this position in the national capital.
The BJP announced its chief ministerial face at the last moment as part of its political strategy, after considering several contenders for the role.
Along with CM Rekha Gupta, six others were appointed as ministers: Parvesh Verma, Ashish Sood, Kapil Mishra, Manjinder Singh Sirsa, Ravinder Kumar Indraj, and Pankaj Kumar Singh.
Returning to power after 27 years, the BJP defeated major AAP leaders, including Arvind Kejriwal in New Delhi, Manish Sisodia in Jangpura, and Saurabh Bharadwaj in Greater Kailash.
The AAP dominated the 2020 and 2015 Delhi elections with landslide victories, winning 67 and 62 seats, respectively. It reduced the BJP to single digits on both occasions and prevented the Congress from securing any seats, ending the party's long 15-year reign under Sheila Dikshit.
Stay informed with the latest 
India
 news, updates on 
public holidays
, and 
bank holidays in March
."," The Aam Aadmi Party named Atishi as leader of opposition in the Delhi assembly . She is the first woman to hold this position in the national capital . Atishi, 43, became the youngest Delhi CM in history and was sworn-in on September 21 .","[('Delhi', 12), ('Atishi', 10), ('AAP', 10), ('leader', 7), ('BJP', 6)]",Miscellaneous,Former Delhi CM Atishi chosen leader of opposition in Delhi assembly - Miscellaneous,"Former Delhi CM Atishi chosen leader of opposition in Delhi assembly -  The Aam Aadmi Party named Atishi as leader of opposition in the Delhi assembly . She is the first woman to hold this position in the national capital . Atishi, 43, became the youngest Delhi CM in history and was sworn-in on September 21 ."
"‘Punjab is important, not ... ': AAP minister responds to 'non-existent' department row",https://timesofindia.indiatimes.com/india/punjab-is-important-not-aap-minister-responds-to-non-existent-department-row/articleshow/118499135.cms,Punjab,General News,"File photo: Punjab minister Kuldeep Singh Dhaliwal (Picture credit: ANI)
 
NEW DELHI: Punjab minister Kuldeep Singh Dhaliwal on Sunday responded to the abolition of the 'non-existent' 
department of administrative reforms
 by the 
Punjab government
, stating that the department's existence is secondary to Punjab's welfare, which remains the government's primary focus.
Speaking to news agency ANI, Dhaliwal said, “They have now abolished the department.
Champions Trophy 2025
IND vs PAK Live: Jasprit Bumrah arrives to watch India vs Pakistan clash in Dubai
'Wrong anthem, 'missing' Indian flag ...': CT marred by off-field blunders
How to Watch IND vs PAK Champions Trophy Match in US, India and Dubai
We have all come to save Punjab. For me, the department is not important; Punjab is important. (Whether this department exists or not) is not an agenda for us”.
A notification issued on February 21 confirmed that the department, which Dhaliwal was assigned alongside 
NRI Affairs
, ""does not exist.""
“In partial modification of Punjab Government Notification No. 2/1/2022-2Cabinet/2230 dated September 23, 2024, regarding allocation of portfolios amongst the Ministers, the Department of 
Administrative Reforms
 earlier allotted to Kuldeep Singh Dhaliwal, Cabinet Minister, is not in existence as on date,” the notification read.
The move triggered a response from BJP, who criticised the AAP government in Punjab, with Union minister Hardeep Singh Puri leading the charge against Dhaliwal for managing a ""non-existent"" department for 20 months.
Union minister Hardeep Singh Puri questioned how Dhaliwal had been running a department for 20 months that did not exist. “He was heading a department for 20 months which is ‘non-existent.’ Such a thing can happen only under the leadership of the AAP government,” Puri said.
BJP leader Fatehjung Singh Bajwa accused the Mann government of poor governance, saying, “Kuldeep Singh Dhaliwal is one of the most senior leaders of the Cabinet and he was leading a non-existent Department, which means no meeting was ever taken… What kind of administrative reforms are being taken? People are going abroad through dunki routes, and no agent or tout who sent them was ever caught... This state government has taken Punjab back by 50 years”.
Defending his government’s move, 
Punjab CM Bhagwant Mann
 clarified that the department was merged with another to streamline governance. “We changed its name and created a new department. Earlier it was just for the name, there was no staff or office. Now, it has been created to bring reforms, whether it is in bureaucracy or other areas,” ANI quoted Mann.
Mann further explained that similar restructuring is being planned for other departments. “There are two departments – the department of administrative reforms and the one held by cabinet minister Aman Arora (governance reforms). There was confusion between the two. We have made it one proper department,” he said.
He also mentioned that other departments with overlapping functions, such as irrigation, water conservation, and drainage, may be consolidated to improve efficiency.
The department of aministrative reforms had reportedly been ‘redundant’ for some time. Officials pointed out that it existed only on paper, had no dedicated officers and no significant meetings or initiatives had taken place.
Dhaliwal, who now holds only the NRI affairs portfolio, has been in the spotlight, particularly after the US deported 
illegal migrants
 to Amritsar earlier this month. Previously, in a cabinet reshuffle in May 2023, Dhaliwal lost key portfolios such as agriculture and rural development, with administrative reforms being handed to him after the exit of Inderbir Singh Nijjar.
However, its role remained unclear as the state’s good governance and IT departments were already handling administrative efficiency improvements.
Stay informed with the latest 
India
 news, updates on 
public holidays
, and 
bank holidays in March
."," Punjab minister Kuldeep Singh Dhaliwal says department's existence is secondary to Punjab's welfare . A notification issued on February 21 confirmed that department of administrative reforms ""does not exist"" Union minister Hardeep Singh Puri led the charge against the minister for managing a 'non-existent' department .","[('department', 14), ('Dhaliwal', 10), ('Singh', 8), ('reforms', 7), ('government', 7)]",Politics,"‘Punjab is important, not ... ': AAP minister responds to 'non-existent' department row - Politics","‘Punjab is important, not ... ': AAP minister responds to 'non-existent' department row -  Punjab minister Kuldeep Singh Dhaliwal says department's existence is secondary to Punjab's welfare . A notification issued on February 21 confirmed that department of administrative reforms ""does not exist"" Union minister Hardeep Singh Puri led the charge against the minister for managing a 'non-existent' department ."
